"JB71 B,PNL DC PWR",,,,,,,
,,,,,,,
Project #,ANG01,,,,,,
Project Name,STOCK,,,,,,
Revision,A.6_M.2,,,,,,
,,,,,,,
Controls DE,Poovarasan M,,,,,,
Phone:,,,,,,,
Controls ME,,,,,,,
Phone:,,,,,,,
,,,,,,,
From,,,,,,To,
Device ID,Wire No.,Wire ID,Gauge/Size,Length,Device ID,To Location,Bundle Name
FU,,,,,,,
,,,,,,,
FU0011:LD,FU0011,WHT,12,60.0,UJ0131:+,"JB71 B,PNL DC PWR",FU0011
FU0011:LI,QF7752POS,WHT,12,60.0,XT0011:1,"JB71 B,PNL DC PWR",
,,,,,,,
FU0004:LD,FU0004,WHT,14,60.0,XT0004:1,"JB71 B,PNL DC PWR",FU0004
FU0004:LI,FU0136,WHT,14,60.0,XT0002:7,"JB71 B,PNL DC PWR",
,,,,,,,
FU0005:LD,FU0005,WHT,14,60.0,XT0005:1,"JB71 B,PNL DC PWR",FU0005
FU0005:LI,FU0136,WHT,14,60.0,XT0002:7,"JB71 B,PNL DC PWR",
,,,,,,,
UJ,,,,,,,
,,,,,,,
UJ0131:-,QF7752NEG,WHT,12,60.0,XT0011:2,"JB71 B,PNL DC PWR",UJ - XT
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0003:7,"-0V",WHT,14,60.0,XT0004:3,"JB71 B,PNL DC PWR",XT - XT
XT0005:3,"-0V",WHT,14,60.0,XT0003:7,"JB71 B,PNL DC PWR",
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0005:3,"-0V",WHT,16,120.0,EL0101:2-,"JB71 B,BOX CONTROL",XT0005
XT0005:4,"-0V",WHT,16,120.0,EL0100:2-,"JB71 B,BOX CONTROL",
XT0005:1,FU0005,WHT,16,120.0,EL0101:1+,"JB71 B,BOX CONTROL",
XT0005:2,FU0005,WHT,16,120.0,EL0100:1+,"JB71 B,BOX CONTROL",
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0002:2,FU0136,WHT,14,120.0,XT0070:1,"JB71 B,PNL CTRL1",XT - XT
,,,,,,,
XT0003:2,"-0V",WHT,12,120.0,XT0070:2,"JB71 B,PNL CTRL1",XT - XT
,,,,,,,
UJ,,,,,,,
,,,,,,,
UJ0131:IOUT,UJ0131IOUT,WHT,20,120.0,AF0385:09,"JB71 B,PNL CTRL2",UJ0131
UJ0131:OK1,UJ0131OK1,WHT,20,120.0,AF0061:41,"JB71 B,PNL CTRL2",
UJ0131:OK2,UJ0131OK2,WHT,20,120.0,AF0061:09,"JB71 B,PNL CTRL2",
UJ0131:VIN,UJ0131VIN,WHT,20,120.0,AF0385:07,"JB71 B,PNL CTRL2",
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0002:2,FU0136,WHT,12,120.0,FU0060:LI,"JB71 B,PNL CTRL2",XT - FU
,,,,,,,
XT0003:2,"-0V",WHT,12,120.0,XT0060:1,"JB71 B,PNL CTRL2",XT - XT
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0002:4,FU0136,WHT,12,120.0,FU0180:LI,"JB71 B,PNL CUSTOMER",XT - FU
,,,,,,,
XT0003:4,"-0V",WHT,12,120.0,XT0180:1,"JB71 B,PNL CUSTOMER",XT - XT
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0002:4,FU0136,WHT,12,120.0,FU0120:LI,"JB71 B,PNL GEN CTRL",XT - FU
,,,,,,,
XT0003:4,"-0V",WHT,12,120.0,XT0120:1,"JB71 B,PNL GEN CTRL",XT - XT
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0002:3,FU0136,WHT,14,120.0,FU0400:LI,"JB71 B,PNL VIBRATION",XT - FU
,,,,,,,
XT0003:3,"-0V",WHT,12,120.0,XT0401:1,"JB71 B,PNL VIBRATION",XT - XT
,,,,,,,
XT,,,,,,,
,,,,,,,
XT0002:3,FU0136,WHT,12,120.0,FU0170:LI,"JB71 C,PNL EQP PWR",XT - FU
,,,,,,,
XT0003:3,"-0V",WHT,12,120.0,XT0175:1,"JB71 C,PNL EQP PWR",XT - XT
