mw-file-description href	mw-file-description src	gallerytext	galleryfilename
https://commons.wikimedia.org/wiki/File:42_Silicon_Valley_Logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/42_Silicon_Valley_Logo.svg/120px-42_Silicon_Valley_Logo.svg.png	512 × 154; 3 KB	42 Silicon Valley Logo.svg
https://commons.wikimedia.org/wiki/File:Alabama_State_University_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Alabama_State_University_wordmark.svg/120px-Alabama_State_University_wordmark.svg.png	300 × 121; 5 KB	Alabama State University wordmark.svg
https://commons.wikimedia.org/wiki/File:Alabama-Huntsville_UAH_logo_cropped.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Alabama-Huntsville_UAH_logo_cropped.svg/120px-Alabama-Huntsville_UAH_logo_cropped.svg.png	187 × 57; 2 KB	Alabama-Huntsville UAH logo cropped.svg
https://commons.wikimedia.org/wiki/File:Alabama-Huntsville_UAH_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Alabama-Huntsville_UAH_logo.svg/120px-Alabama-Huntsville_UAH_logo.svg.png	253 × 101; 6 KB	Alabama-Huntsville UAH logo.svg
https://commons.wikimedia.org/wiki/File:American_Public_University_System_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/American_Public_University_System_logo.svg/120px-American_Public_University_System_logo.svg.png	512 × 54; 20 KB	American Public University System logo.svg
https://commons.wikimedia.org/wiki/File:American_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/American_University_logo.svg/120px-American_University_logo.svg.png	226 × 70; 23 KB	American University logo.svg
https://commons.wikimedia.org/wiki/File:Ashland_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Ashland_University_logo.svg/120px-Ashland_University_logo.svg.png	250 × 62; 4 KB	Ashland University logo.svg
https://commons.wikimedia.org/wiki/File:Baldwin_Wallace_University.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Baldwin_Wallace_University.svg/120px-Baldwin_Wallace_University.svg.png	304 × 304; 12 KB	Baldwin Wallace University.svg
https://commons.wikimedia.org/wiki/File:Ballard_Center.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Ballard_Center.svg/120px-Ballard_Center.svg.png	171 × 80; 7 KB	Ballard Center.svg
https://commons.wikimedia.org/wiki/File:Bellevue_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Bellevue_University_logo.svg/120px-Bellevue_University_logo.svg.png	512 × 98; 8 KB	Bellevue University logo.svg
https://commons.wikimedia.org/wiki/File:Bentley_University_logo.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Bentley_University_logo.svg/120px-Bentley_University_logo.svg.png	223 × 65; 5 KB	Bentley University logo.svg
https://commons.wikimedia.org/wiki/File:BGSU_Firelands_wordmark.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/BGSU_Firelands_wordmark.svg/120px-BGSU_Firelands_wordmark.svg.png	512 × 55; 4 KB	BGSU Firelands wordmark.svg
https://commons.wikimedia.org/wiki/File:Bhu-logo-wiki.svg	https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Bhu-logo-wiki.svg/120px-Bhu-logo-wiki.svg.png	512 × 512; 431 KB	Bhu-logo-wiki.svg
