"Product Number","Description"
"2684693-49","Base, Terminal, Spring, -40to 70c"
"2684693-46","Base, Terminal, Screw, -40to 70c"
"2684693-47","Base, Terminal, Screw, -40to 70c"
"2684693-48","Base, Terminal, Spring, -40to 70c"
"1088442-3","Base, Vibration, Dyn, Spring"
"1051931-19","Base, Temperature, Spring"
"1051931-20","Base, Generic, Screw"
"1051931-17","Base, Spring"
"1051931-18","Base, Temperature, Screw"
"1051931-21","Base, Generic, Spring"
"1051931-16","Base, Screw"
"1129119-3","Base, Terminal, Screw"
"2684693-18","Base, Terminal, Spring, -40to 70c"
"2684693-14","Base, Terminal, Screw, -40to 70c"
"2684693-21","Base, Terminal, Spring, -40to 70c"
"2684693-12","Base, Terminal, Screw, -40to 70c"
"2684693-16","Base, Terminal, Screw, -40to 70c"
"2684693-2","Base, Terminal, Screw, -40 To 70c"
"2684693-17","Base, Terminal, Spring, -40to 70c"
"2684693-13","Base, Terminal, Screw, -40to 70c"
"2684693-1","Base, Mount, -40 To 70"
"2684693-19","Base, Terminal, Spring, -40to 70c"
