Product Number,Description,Replaces
945107C92,"Box Assy, Ep, Exciter",
903425C2,"Box, Pull, 3-way",15221044
908697C2,"Box, Pull, 3-way",
908606C2,"Box, Pull, 3-way",908606C1
1067580-3,"Box, Control, Nema4x",
1053449-101,"Box Assy, Ep, T5",
1046659-1,"Box Assy, Nema4",
1022220,"Box, Pull, 3-way",
1019711,"Box, Pull, 3-way",
952264C1,"Box, Pull, 2-way",
903359C2,"Box, Pull, 4-way",912373C1
981305C1,"Box, Pull, 2-way",
700209C1,"Box, Pull, 2-way",
956606C2,"Box, Pull, 3-way",
918882C2,"Box, Pull, 4-way",918882C1
700020C1,"Box, Pull, 5-way",
701538C1,"Box, Pull, 3-way",
310354-1,"Box, Pull, 3-way",
999225C1,"Box, Pull",
980833C1,"Box, Pull, 2-way",
1402142-200,"Box Assy, Ep, Bam",
310346-1,"Box, Pull, 3-way",
908533C2,"Box, Pull, 3-way",980836C1
908102C2,"Box, Pull, 2-way",908102C1
112445-2,"Box, Pull, 2-way",112445-1
918133C2,"Box, Pull, 2-way",918133C1
912406C2,"Box, Pull, 3-way",980816C1
912505C2,"Box, Pull, 4-way",
112343-2,"Box, Pull, 4-way",112343-1
700019C1,"Box, Pull, 5-way",
1067573-3071,"Box, Control, Nema4x",
1096567-1303,"Box, Control, Nema4x",
908553C2,"Box, Pull, 2-way",908553C1
1067573-3070,"Box, Control, Nema4x, 2-door",
1067573-3072,"Box, Control, Nema4x",1067573-3070
603109C1,"Box Assy, Cntrl, Cooler",
1090724-200,"Box, Control, Ep",
1067579-95,"Box, Control, Nema4x",
1061406-1,"Box, Control",
1096566-1604,"Box, Control, Nema4x",
1067573-3051,"Box, Control, Nema4x",
1064521-101,"Box Assy, Cntrl, Eexd Disconnect",
1067573-2402,"Box, Control, Nema4x",1067573-2400
1067573-3052,"Box, Control, Nema4x",1067573-3050
1096567-1304,"Box, Control, Nema4x",
1081984-2,"Box Assy, Ep",
1067573-2401,"Box, Control, Nema4x",
1067573-41,"Box, Control, Nema4x",
1067573-3050,"Box, Control, Nema4x, 2-door",
1067573-2400,"Box, Control, Nema4x, 2-door",
912072C2,"Box, Pull, 4-way",
908552C2,"Box, Pull, 3-way",
903755C2,"Box, Pull, 4-way",
903355C2,"Box, Pull, 3-way",
112125-1,"Box, Pull, 3-way",
912387C2,"Box, Pull, 2-way",
908410C2,"Box, Pull, 3-way",
1692319-2,"Box Assy, Nema4x",
1692316-1,"Box Assy, Ep",
1692319-1,"Box Assy, Nema4x",
918814C2,"Box, Pull, 4-way",
200133-1100,"Box Assy, Ep, Exciter",
1070352-100,"Box Assy, Ep, T5",
1067577-30,"Box, Control, Nema4x",
1065497-202,"Box Assy, Ep, Isolator",
1057888-1,"Box Assy, Ep",
1057018-32,"Box, Control, Nema4x",
1054596-31,"Box, Control, Nema4, 1-door",
1053450-103,"Box Assy, Ep, T5",
2060010-2,"Box, Control, Nema4, 1-door",
1054596-50,"Box, Control, Nema4, 1-door",
2043420-100,"Box, Control, Nema4x, 1-door",
2043420-200,"Box, Control, Nema4x, 1-door",
1107567-4C072-1,"Plate, Gland, 34.31 Inx 7.11 In",
1107567-4,"Plate, Gland",
1067580-32,"Box, Control, Nema4x",
1067573-3073,"Box, Control, Nema4x",
1067573-3053,"Box, Control, Nema4x",
1061406-2,"Box, Control, Nema4",
1067579-96,"Box, Control, Nema4x",
1067579-31,"Box, Control, Nema4",
1027127-D3010,"Box, Pull",
1053448-100,"Box Assy, Ep, T5",
1067585-3,"Box, Control, Nema4",
912780C2,"Box, Pull, 4-way",
1067573-42,"Box, Control, Nema4x",
1096566-1605,"Box, Control, Nema4x",
1107714-2,"Box Assy, Non-is",
1107714-1,"Box Assy, Non-is",
1107567-9,"Plate, Gland",
1107567-2,"Plate, Gland",
1402142-101,"Box Assy, Ep, Bam",
1054596-3,"Box, Control, Nema4, 1-door",
1090837-2,"Box Assy, Ep",
1085523-3,"Box, Control",
1067577-31,"Box, Control, Nema4x",
1067578-3R891,"Box, Control, Nema4x, 1-door",
1067577-42,"Box, Control, Nema4x",
1067577-4,"Box, Control, Nema4x",
1053450-104,"Box Assy, Ep, T5",
1090724-201,"Box, Control, Ep",
701767C1,"Box, Pull, 3-way",
1057018-3,"Box, Control, Nema4, 1-door",
1064521-201,"Box Assy, Ep, Isolator",
1595523-2,"Box, Control, Nema4, 1-door",
1043624-101,"Box Assy, Ep, Exciter",
1067579-40,"Box, Control, Nema4x",
1067579-3,"Box, Control, Nema4",
1037695-100,"Box Assy, Nema4x, Power",
1067578-3,"Box, Control, Nema4",
1067573-2403,"Box, Control, Nema4x",
1067579-3Z352,"Box, Control, Nema4x, 1-door",
1079559-501,"Box, Control, Ep",
1698835-1,"Box, Control, Nema4x, 1-door",
1104235-200,"Box, Control, Nema4x",
1070352-101,"Box Assy, Ep, T5",
1105069-11,"Box Assy, Cntrl",
1091545-1201,"Box Assy, Cntrl",
1105069-1,"Box Assy, Cntrl",
1905605-101,"Box Assy, Cntrl, Fire System",
1905605-102,"Box Assy, Cntrl, Fire System",
1091545-1202,"Box Assy, Cntrl",
1070536,"Box, Junction, Round, Npt",
1053010-3,"Box, Junction, Nema4x",
1052994-6,"Box, Junction, Nema4x",
1070706-4,"Box, Junction, Nema4x",
1129113-1,"Box, Junction, Ep, Round",
1059677-11,"Box, Junction, Ep, Npt",
1053010-2,"Box, Junction, Nema4x",
1052998-1,"Box, Junction, Nema4x",
1052994-5,"Box, Junction, Nema4x",
1129113-2,"Box, Junction, Ep, Round",
1052994-7,"Box, Junction, Nema4x",
125625-303,"Box, Junction, Ep, Rectangular",
1129113-6,"Box, Junction, Ep, Round",
1052138-12,"Box, Junction",
1052138-1,"Box, Junction",
1052138-4,"Box, Junction",
1052138-7,"Box, Junction",
1078390-1,"Box, Junction, Ep, Square, Npt",
1062522,"Box, Junction, Ep, Round",
1053014-1,"Box, Junction, Nema4x",
1053010-4,"Box, Junction, Nema4x",
1053002-3,"Box, Junction, Nema4x",
1053002-2,"Box, Junction, Nema4x",
1052998-3,"Box, Junction, Nema4x",
1052994-4,"Box, Junction, Nema4x",
1052138-8,"Box, Junction",
1052138-3,"Box, Junction",
1052138-21,"Box, Junction",
1052138-2,"Box, Junction",
1052138-11,"Box, Junction",
2013907-14,"Guide, J-box Cable, Straight",
2013907-7,"Guide, J-box Cable, 60Â°",
606070C1,"Box, Junction, Nema4x, Ep, Round",
605666C1,"Box, Junction, Nema4x, Rect",
1053015-1,"Box, Junction, Nema4x",
1052995-5,"Box, Junction, Nema4x",
1820133-200,"Box, Junction, Nema4x, Metric",
1820133-100,"Box, Junction, Nema4x, Metric",
1113646-2,"Box, Junction, Nema4x, Square",
1020499-2,"Box, Junction, Ep, Npt",
1052994-1,"Box, Junction, Rectangular",
1092859-1,"Box, Junction, Nema4x",
1089678-3,"Box, Junction",
1059438-104,"Box, Junction, Nema4, Npt",
1105069-12,"Box, Junction, Ep, Rect, Npt",
1053002-5,"Box, Junction, Nema4x",
1052994-8,"Box, Junction, Nema4x",
1106204-300,"Box, Junction, Nema4x",
1052996-7,"Box, Junction, Nema4x",
1061367-101,"Box, Junction, Ep",
1052994-9A131,"Box, Junction",
1059677-1,"Box, Junction, Ep, Npt",
1052996-3,"Box, Junction, Nema4x",
1052996-1,"Box, Junction, Nema4x",
1052995-4,"Box, Junction, Nema4x",
1110418-11,"Box, Junction, Nema4x, Npt",
1069066-1,"Box, Junction",
1081987-1,"Box, Junction, Ep, Npt",
1070715-4,"Box, Junction, Nema4x",
1059438-3X521,"Box, Junction, Nema4, Npt",
1106204-200,"Box, Junction, Nema4x",
1052995-1,"Box, Junction, Nema4x",
1129113-7,"Box, Junction, Ep, Round",
1053002-7,"Box, Junction, Nema4x",
1049909-101,"Box, Junction, Ep, Rectangular",
1119804-200,"Box, Junction, Nema4x, Square",
1054481-12,"Box, Junction, Ep",
1065497-602,"Box, Junction, Ep, Npt",
1110418-1,"Box, Junction, Nema4x, Npt",
1053002-4,"Box, Junction, Nema4x",
1053011-3,"Box, Junction, Nema4x",
1052996-2,"Box, Junction, Nema4x",
1052994-3,"Box, Junction, Nema4x",
1089678-1,"Box, Junction",
1054109-1,"Box, Junction, Ep",
1052994-2,"Box, Junction, Nema4x",
1053829-1,"Box, Junction, Flameproof, Npt",
1095128-1,"Box, Junction, Non-ep, Npt",
1113646-1,"Box, Junction, Nema4x, Square",
1078169-1,"Box, Junction, Nema4x",
1070714-3,"Box, Junction, Nema4x",
1679040-2,"Box, Junction, Nema4x, Rect",
1679040-1,"Box, Junction, Nema4x, Rect",
1095128-2,"Box, Junction, Non-ep, Npt",
1070711-2,"Box, Junction, Nema4x",
1070930-2,"Box, Junction",
1070930-1,"Box, Junction",
1059438-105,"Box, Junction, Nema4, Npt",
234361-100,"Box, Electrical",
1053011-4,"Box, Electrical",
1052124-23,"Box, Electrical",
1070707-1,"Box, Electrical",
1052124-11,"Box, Electrical",
1070720-1,"Box, Electrical",
1052135-2,"Box, Electrical",
2044163-1,"Box, Electrical",
2013908-4,"Box, Electrical",
2032840-4,"Box, Electrical",
967649C1,"Box, Electrical",
1035764-100,"Box, Electrical",
1041700-1,"Box, Electrical, Ep",
1053002-1,"Box, Electrical, Nema4x",
700361C1,"Box, Electrical, Nema4",
1090015-1,"Box, Electrical, Nema4x",
1076224-1,"Box, Electrical, Nema4x",
2013907-15,"Box, Electrical, Nema4x",
2013907-16,"Box, Electrical, Nema4x",
1125877-1,"Box, Electrical, Ep",
964914C1,"Box, Electrical, Nema4",
965414C1,"Box, Electrical, Nema4",
1056965-3,"Box, Electrical, Nema4x",
970200C1,"Box, Electrical, Nema4",
310730-1,"Box, Electrical, Ep",
605684C1,"Cover, Box",
970917C1,"Box, Electrical, Nema4, Nema4x",
1070714-4,"Box, Junction, Nema4x",
604655C1,"Gasket, Replacement, Cover, Jbox",
918258C1,"Box, Electrical, Nema4x, Nema4",
981070C1,"Box, Electrical, Nema4x, Nema4",
964406C1,"Box, Electrical, Nema4",
127240-7,"Box, Electrical, Ep",
947363C6,"Box, Electrical, Ep",
1125877-2,"Box, Electrical, Ep",
127240-17,"Box, Electrical, Ep",
970246C1,"Box, Electrical, Nema4",
952376C1,"Box, Electrical, Nema4",
1084026-2,"Box, Electrical, Ep",
116427-4,"Box, Electrical, Non-ep",
1022425,"Box, Pull, 2-way",
1020459,"Box, Pull, 2-way",
908532C2,"Box, Pull, 2-way",
903356C2,"Box, Pull, 3-way",
310628-1,"Box, Pull, 4-way",
918066C2,"Box, Pull, 2-way",
908432C2,"Box, Pull, 3-way",
70-30125-1,"Pull Station, Manual, Brk Glass",
1129437-1,"Box Assy, Ep, Bv, Igv",
1022364,"Box, Pull, 2-way",
