Product Number,Description
908488C1,"Clamp, Cable"
907269C1,"Cable, Ignition, 32 In"
700894C1,"Cable, Thermocouple, Type- K, 16"
199358-200,"Harness Assy, Thermocouple"
190309-6,"Cable, Armored"
190309-4,"Cable, Armored, Triad"
190309-3,"Cable, Armored, Triad"
156110-252,"Harness Assy, Wire Tc5 Probe"
1098174-31,"Cable, Mc-hl, Triad"
1098174-21,"Cable, Mc-hl, Pair"
1087495-1,Cable
1078029-200,"Cable, Bam, 50 Ft"
1071783-3,"Cable, Tray"
1071783-1,"Cable, Shielded, Pair"
1071782-241,"Cable, Tc-er, Pair"
1071782-102,"Cable, Tc-er, Single"
1071431-241,"Cable, Tc-er, Pair"
1071431-201,"Cable, Tc-er, Pair"
1057564-2,"Cable, Thermocouple, Type-n, 18"
1054710-1,"Cable, Armored, Pair"
1040131-7,"Cable, Communication, Ethernet"
1040131-6,Cable
1040131-1,"Cable, Communication, Ethernet"
1022279-8,"Cover, Duct, Wire, 4 In, Blue"
1022279-6,"Cover, Duct, Wire, 3 In, Blue"
1022279-3,"Cover, Duct, Wire, 3 In, Gray"
1022279-26,"Duct, Wire, 4 In X 4 In, Blue"
1022279-21,"Duct, Wire, 2 In X 3 In, Blue"
1022279-20,"Duct, Wire, 3 In X 3 In, Blue"
1022279-19,"Duct, Wire, 3 In X 4 In, Blue"
1022279-17,"Duct, Wire, 3 In X 4 In, Gray"
1022279-16,"Duct, Wire, 2 In X 4 In, Gray"
1022279-10,"Duct, Wire, 1 In X 2 In, Gray"
917198C1,"Cable, Shielded, Triad"
190898-3,"Cable, Armored, Single"
190308-3,"Cable, Armored, Pair"
120245-8,"Cable, Thermocouple, Type- K, 24"
120245-12,"Cable, Thermocouple, Type- K, 24"
1041158-1,"Cable, Shieled, Pair"
1015162-13,"Wire, 14 Awg, White, Stranded"
1098580-41,"Cable, Fiber Optic, 3 M, Sc-sc"
2466149-2,"Cable, Power Supply, Unshielded"
1899204-3,"Cable, Communication, Ethernet"
604405C1,"Cable, Vib Probe Extension, 4.5m"
1901583-4,"Cable, Ignition, 60 In"
1901583-5,"Cable, Ignition, 84 In"
1901583-2,"Cable, Shielded, Quick"
1106458-10,"Cable, Communication"
1105411-14,"Cable, Armored, Circular"
1105411-8,"Cable, Armored, Circular"
1105411-10,"Cable, Armored, Circular"
