Product Number,Description
2056672-10,"Breaker, Circuit, 3.2 A, 3pst"
1986549-8,"Breaker, Circuit, 30 A, 3pst"
1986549-10,"Breaker, Circuit, 90 A, 3pst"
1986549-7,"Breaker, Circuit, 150 A, 3pst"
1986549-11,"Breaker, Circuit, 40 A, 3pst"
2045213-2,"Breaker, Circuit, 225 A, Wall"
605381C1,"Breaker, Circuit, 6 A, 3pst, Rail"
605382C1,"Breaker, Circuit, 6 A, Spst, Rail"
602055C1,"Breaker, Circuit, 30 A, 480 Vac"
1075018-3,"Breaker, Circuit, 50 A, Spst"
601974C1,"Breaker, Circuit, 125 A"
602078C1,"Breaker, Circuit, 15 A, 380 Vac"
602079C1,"Breaker, Circuit, 25 A, 380 Vac"
994490C1,"Breaker, Circuit, 20 A, 480 Vac"
1075018-4,"Breaker, Circuit, 3 A, Spst, Panel"
603850C1,"Breaker, Circuit, 5 A, Spst"
603851C1,"Breaker, Circuit, 6 A, Spst"
603846C1,"Breaker, Circuit, 15 A, Spst"
952575C1,"Breaker, Circuit, 60 A, Spdt, Spst"
1503050-12,"Breaker, Circuit, 16 A, Rail"
2082494-4,"Breaker, Circuit, 20 A, Rail Mnt"
2082333-51,"Breaker, Circuit"
2082494-1,"Breaker, Circuit, 2 A, Rail Mnt"
2082494-5,"Breaker, Circuit, 40 A, Rail Mnt"
2082494-6,"Breaker, Circuit, 63 A, Rail Mnt"
2082494-3,"Breaker, Circuit, 16 A, Rail Mnt"
605592C1,"Breaker, Circuit, 3 A"
605595C1,"Breaker, Circuit, 10 A"
605591C1,"Breaker, Circuit, 13 A"
1765875-22,"Breaker, Circuit, 2 A, 277 Vac"
1765815-91,"Breaker, Circuit, 40 A, Rail"
2082494-2,"Breaker, Circuit, 6 A, Rail Mnt"
2082494-52,"Endstop, Terminal Block"
1765875-2,"Breaker, Circuit, 2 A, 277 Vac"
1766918-1,"Breaker, Circuit, 25 A"
1765875-6,"Breaker, Circuit, 13 A, 277 Vac"
1765875-4,"Breaker, Circuit, 6 A, 277 Vac"
1765875-11,"Breaker, Circuit, 30 A, 277 Vac"
1765879-8,"Breaker, Circuit, 20 A, 500 Vdc"
1765875-5,"Breaker, Circuit, 10 A, 277 Vac"
1765875-3,"Breaker, Circuit, 4 A, 277 Vac"
1765875-12,"Breaker, Circuit, 40 A, 277 Vac"
1765879-11,"Breaker, Circuit, 40 A, 500 Vdc"
1765879-13,"Breaker, Circuit, 63 A, 500 Vdc"
1765879-4,"Breaker, Circuit, 6 A, 500 Vdc"
1765879-2,"Breaker, Circuit, 2 A, 500 Vdc"
1765879-7,"Breaker, Circuit, 16 A, 500 Vdc"
990914C1,"Breaker, Circuit, 30 A"
605265C1,"Breaker, Circuit, 25 A, 3pst"
605249C1,"Breaker, Circuit, 4 A, Spst, Rail"
605188C1,"Breaker, Circuit, 2 A, Spst, Screw"
605189C1,"Breaker, Circuit, 10 A, Dpdt"
605195C1,"Breaker, Circuit, 4 A, Spst, Screw"
1765814-7,"Breaker, Circuit, 300 A"
1765814-10,"Breaker, Circuit, 60 A, Rail Mnt"
1765815-66,"Breaker, Circuit, 29 A, Rail"
1765815-65,"Breaker, Circuit, 25 A, Rail"
1765815-52,"Breaker, Circuit, 6.3 A, Rail"
1765815-63,"Breaker, Circuit, 16 A, Rail"
1765814-5,"Breaker, Circuit, 1200 A"
1765815-64,"Breaker, Circuit, 20 A, Rail"
1765815-61,"Breaker, Circuit, 6.3 A, Rail"
1765815-62,"Breaker, Circuit, 10 A, Rail"
1765815-53,"Breaker, Circuit, 10 A, Rail"
1765814-2,"Breaker, Circuit, 250 A"
1765814-8,"Breaker, Circuit, 400 A"
1765814-9,"Breaker, Circuit, 600 A"
1765815-51,"Breaker, Circuit, 4 A, Rail, Screw"
2370723-1,"Breaker, Circuit, 20 A, Rail"
2010738-1,"Breaker, Circuit, 2000 A"
604984C1,"Breaker, Circuit, 10 A, Spst"
604985C1,"Breaker, Circuit, 6 A, Spst"
1503050-7,"Breaker, Circuit, 6 A, Rail"
1503050-11,"Breaker, Circuit, 40 A, Rail"
1503050-5,"Breaker, Circuit, 2 A, Rail"
1503050-9,"Breaker, Circuit, 13 A, Rail"
1503050-10,"Breaker, Circuit, 30 A, Rail"
1503050-6,"Breaker, Circuit, 4 A, Rail"
1503050-8,"Breaker, Circuit, 10 A, Rail"
1765815-45,"Breaker, Circuit"
