"Product Number","Description"
"601502C1","Contactor, 115 A, 400 V, Dc"
"1674984-1","Contactor, 125 A, 440 V, Dc"
"998176C1","Contactor, 110 A, Dc"
"605266C1","Contactor, 45 A, 60 V"
"605194C1","Contactor, 50 A, 400 V"
"605181C1","Contactor, 690 A, 60 V, Dc"
"2367350-3","Contactor, 26 A, 690 V, Dc, Ac"
"604960C1","Contactor, 230 V, Ac"
"1765465-22","Contactor, 23 A, 230 V, Ac"
"1765465-25","Contactor, 30 A, 230 V, Ac"
"1765465-1","Contactor, 12 A, 24 V, Dc"
"1765465-23","Contactor, 37 A, 230 V, Ac"
"1765465-11","Contactor, 16 A, 120 V, Dc"
"1765465-21","Contactor, 16 A, 230 V, Ac"
"605512C1","Contactor, 60 A, 120 V, Mech"
"605383C1","Contactor, 6 A"
"603442C2","Contactor, 116 A, 250 V, Dc, Ac"
"603442C1","Contactor, 115 A, 1000 V, Dc"
"954321C1","Contactor, 400 A, Dc"
"600437C1","Contactor, 85 A, Dc"
"600436C1","Contactor, 85 A, Dc"
"2165031-2","Contactor, 60 A, 250 V, Dc, Ac"
"2165031-1","Contactor, 30 A, 250 V, Dc, Ac"
"2165031-3","Contactor, Dc, Ac"
