"Product Number","Description"
"969659C1","Ferrule, Insul Sgl, 12 Awg"
"970757C1","Ferrule, Insul Sgl, 14 Awg"
"969658C1","Ferrule, Insul Sgl, 12 Awg"
"969656C1","Ferrule, Insul Sgl, 18 Awg"
"969657C1","Ferrule, Insul Sgl, 16 Awg"
"981121C1","Ferrule, Insul Sgl, 8 Awg"
"969655C1","Ferrule, Insul Sgl, 18 Awg, 0.75"
"700250C1","Ferrule, Insul Sgl, 20 Awg"
"969654C1","Ferrule, Insul Sgl, 18 Awg, 0.75"
"967581C1","Ferrule, Ceramic"
"950363C1","Ferrule, Tube, Back, 0.25"
"950330C1","Ferrule, Tube, Front, 0.38"
"1008162","Ferrule, Tube, Back, 0.50"
"1008156","Ferrule, Tube, Front, 0.38"
"965655C1","Ferrule Back, 1.o Tube"
"960836C1","Ferrule, Tube, Front, 1.0"
"950362C1","Ferrule, Tube, Front, 0.25"
"950329C1","Ferrule, Tube, Back, 0.38"
"952012C1","Ferrule, Tube, Front, 0.50"
"1008161","Ferrule, Tube, Back, 0.38"
"1008157","Ferrule, Tube, Front, 0.50"
"960278C1","Ferrule, Tube, Front, 0.75"
"960837C1","Ferrule, Tube, Back, 0.75"
"967738C1","Ferrule, Tube, Front, Back, 0.50"
"960277C1","Ferrule, Tube, Back, 0.50"
"700245C1","Ferrule, Insul Sgl, 14 Awg"
"40003017","Back Ferrule"
"40004698","Back Ferrule"
"40003016","Front Ferrule"
"40004699","Front Ferrule"
"1024171","Ferrule, Tube, Front, 1.25"
"1041973","Ferrule, Tube, Back, 0.187"
"1041972","Ferrule, Tube, Front, 0.1875"
"1024172","Ferrule, Tube, Back, 1.25"
"952011C1","Back Ferrule .500 Flareless Ss"
"1006914-1201","Kit, Instl, Jumper, W/ferrule"
