"Product Number","Description"
"970250C1","Insert, 8-32unc-2b X 0.450 In"
"606061C1","Insert"
"951464C2","Insert"
"701387C1","Insert, 6-32unc-2b"
"912128C1","Insert, 0.375-24unjf-3b X 0.620"
"601235C1","Insert, 0.875-14unf-2b X 1.132"
"1021464","Insert, 10-24unc-2b X 0.315 In"
"908541C1","Insert, 0.50-13unc-3b X 0.75 In"
"908521C1","Insert, 0.25-20unc-3b X 0.38 In"
"908588C1","Insert, 0.375-24unf-3b X 0.56"
"908326C1","Insert, 0.312-18unc-3b X 0.47"
"908106C1","Insert, 10-32unf-3b X 0.29 In"
"950541C1","Insert, 0.25-28unc-3b X 0.375"
"949684C1","Insert X 0.635 In"
"918641C1","Insert, 0.312-18unc-2b X 0.312"
"915117C1","Insert X 0.246 In"
"903572C1","Insert, 0.25-28unf-3b X 0.38 In"
"903464C1","Insert, 0.25-28unjf-3b X 0.330"
"908543C1","Insert, 10-24unc-3b X 0.30 In"
"908864C1","Insert, 0.75-10unc-2b X 1.125"
"908619C1","Insert, 0.312-18unc-3b X 0.47"
"127682-9","Insert X 0.584 In"
"1021466","Insert, 0.25-20unc-2b X 0.58 In"
"1021463","Insert, 8-32unc-2b X 0.305 In"
"1110844-85","Insert, 0.75-16unf-3b"
"600892C1","Insert, 0.25-20unc-2b"
"908518C1","Insert, 0.375-16unc-2b X 0.56"
"912556C1","Insert X 0.375 In"
"952037C1","Insert, 0.312-24unf-2b X 0.560"
"903346C1","Insert, 0.375-16unc-2b X 0.57"
"127682-10","Insert X 0.584 In"
"970249C1","Insert, 6-32unc-2b X 0.450 In"
"912086C1","Insert, 8-32unc-3b X 0.25 In"
"903600C1","Insert"
