"Product Number","Description"
"375142-1","Lug, Lifting, Air Inlet"
"310513-1","Lug, Lifting, Ancil Equip"
"1050440-2","Lug, Lifting"
"1050440-1","Lug, Lifting, For C4 X 7.25 Chan"
"903445C1","Lug, Terminal, 4/0 Awg, 2/0 Awg"
"903861C1","Lug, Terminal, Ring, 8 Awg"
"903843C1","Lug, Terminal, Ring, 14 Awg, 16"
"903856C1","Lug, Terminal, Ring, 8 Awg"
"918597C1","Lug, Terminal, Spade, 22 Awg, 18"
"903860C1","Lug, Terminal, Ring, 8 Awg"
"903834C1","Lug, Terminal, Ring, 22 Awg, 18"
"903867C1","Lug, Terminal, Ring, 4 Awg"
"903849C1","Lug, Terminal, Ring, 12 Awg"
"908703C1","Lug, Terminal, Fork, 16 Awg"
"903877C1","Lug, Terminal, Splice, 18 Awg, 22"
"912955C1","Lug, Terminal, Spade, 12 Awg, 10"
"903957C1","Lug, Terminal, 14 Awg, 16 Awg"
"903972C1","Lug, Terminal, 22 Awg, 18 Awg"
"953392C1","Lug, Terminal, Ring, 4 Awg"
"903859C1","Lug, Terminal, Ring, 8 Awg"
"903853C1","Lug, Terminal, Ring, 10 Awg, 12"
"903851C1","Lug, Terminal, Ring, 12 Awg, 10"
"912806C1","Lug, Terminal, Fork, 10 Awg, 12"
"1116192","Lug, Terminal, Fork"
"912803C1","Lug, Terminal, Fork, 14 Awg, 16"
"912801C1","Lug, Terminal, Fork, 18 Awg, 22"
"912800C1","Lug, Terminal, Fork, 18 Awg, 22"
"912325C1","Lug, Terminal, Spade"
"912326C1","Lug, Terminal, Spade"
"908020C1","Lug, Terminal"
"903832C1","Lug, Terminal, Ring, 18 Awg, 22"
"903833C1","Lug, Terminal, Ring, 18 Awg, 22"
"1007114","Lug, Terminal, 14 Awg, 16 Awg"
"912807C1","Lug, Terminal, Fork, 12 Awg, 10"
"903879C1","Lug, Terminal, Splice, 10 Awg, 12"
"903858C1","Lug, Terminal, Ring, 8 Awg"
"903850C1","Lug, Terminal, Ring, 10 Awg"
"903842C1","Lug, Terminal, Ring, 14 Awg, 16"
"903968C1","Lug, Terminal"
"903969C1","Lug, Terminal"
"1957644-114","Lug, Terminal, Ring, 16 Mm2"
"1957644-115","Lug, Terminal, Ring, 16 Mm2"
"2050745-1","Lug, Terminal, Ring, Ground, 4/0"
"2047693-1","Lug, Terminal, Ring, 3/0 Awg"
"605385C1","Lug, Terminal, 1/0 Awg"
"1511762-4B581-3","Lug, Terminal, 300 Mcm"
"1511762-4B581-2","Lug, Terminal, 2/0 Awg"
"1511762-4B581-1","Lug, Terminal, 2/0 Awg"
"908259C1","Lug, Terminal, Ring"
"912802C1","Lug, Terminal, Fork, 22 Awg, 18"

"602315C1","Lug, Terminal, 2 Awg"
"903869C1","Lug, Terminal, Ring, 4 Awg"
"903844C1","Lug, Terminal, Ring, 16 Awg"
"953697C1","Lug, Terminal, Ring, 2 Awg"
"912805C1","Lug, Terminal, Fork, 16 Awg"
"908019C1","Terminal Lug"
"120364-5","Cable, Lug"
"120798-7","Cable Lug"
"908021C1","Term Lug Chr"
"1247052-1","Lug, Terminal, Plug"
"840290035","An5548-3 Terminal Lug"
"840290010","An5548-1 Term. Lug"
"2662354","140g-m Terminal Lug"
"2662352","140g-h Terminal Lug"
"915559C1","Nut Plate, Float, 2 Lug"
"908447C1","Nut Plate, 1 Lug, Float"
"908493C1","Nut Plate, 2 Lug, Float"
"2664027","140g-k Terminal Lug, Fccu"
"2664025","140g-j Terminal Lug, Fccu"
"1051502","Nut Plate, Float, 2 Lug"
"1076320","Lug, Lifting, 5/8"" Hole"
"953850C1","Nut Plate, Self-lock, 2 Lug"
"1704094","Lug, Terminal, Splice, 1 Awg, 4"
"908547C1","Enps-terminal Ring, Lug Ring 2"
"112384-1","Enps-terminal Ring, Lug Ring 1"
"112372-1","Enps-terminal Ring, Lug Ring 2"
"112396-1","Enps-terminal Ring, Lug Ring 1"
"112392-1","Enps-terminal Ring, Lug Ring 1"
"112373-1","Enps-terminal Ring, Lug Ring 2"
"112397-1","Enps-terminal Ring, Lug Ring 1"
"112395-1","Enps-terminal Ring, Lug Ring 1"
"112393-1","Enps-terminal Ring, Lug Ring 1"
"112391-1","Enps-terminal Ring, Lug Ring 1"
"112385-1","Enps-terminal Ring, Lug Ring 1"
"112382-1","Enps-terminal Ring, Lug Ring 1"
"112381-1","Enps-terminal Ring, Lug Ring 1"
"112379-1","Enps-terminal Ring, Lug Ring 1"
"112378-1","Enps-terminal Ring, Lug Ring 1"
"112376-1","Enps-terminal Ring, Lug Ring 2"
"112375-1","Enps-terminal Ring, Lug Ring 2"
"112370-1","Enps-terminal, Lug Ring 22-18"
"112369-1","Enps-terminal Ring, Lug Ring 2"
"1121854","Lug, Terminal, 1 Awg, 2 Awg, 3 Awg"
"981022C1","Lug Ring, 1-2 Gage, 1/2 '' Hol"
