"Product Number","Description"
"2956328-1","Switch, Ethernet"
"2951712-3","Router, Controlnet, Ethernet/ip"
"2951712-5","Router, Controlnet, Ethernet/ip"
"2951712-2","Router, Controlnet, Ethernet/ip"
"2951712-4","Router, Controlnet, Ethernet/ip"
"2951712-7","Router, Controlnet, Ethernet/ip"
"2951712-6","Router, Controlnet, Ethernet/ip"
"2951712-1","Router, Controlnet, Ethernet/ip"
"1271449-4","Converter, Media, Wire-fiber"
"1175882-3","Data Collector, 3030 Iim"
"1175882-2","Data Collector"
"1064203-8","Switch, Fiber Optic"
"605184C1","Modem"
"2127397-1","Switch, Ethernet, Multi"
"605485C1","Switch, Ethernet"
"1337728-11","Switch, Ethernet, 24 Vdc"
"1337728-13","Switch, Ethernet, 24 Vdc"
"1337728-12","Switch, Ethernet, 24 Vdc"
"1337728-10","Switch, Ethernet, 24 Vdc"
"2127397-2","Switch, Ethernet, Multi"
"1271449-2","Converter, Media, Wire-fiber"
"1060951-25","Switch, Ethernet, 10-30 Vdc"
"1901587-1","Module, Gps Time Sync"
"1060951-15","Switch, Ethernet, 24 Vdc"
"1060951-12","Switch, Ethernet, 24 Vdc"
