"Product Number","Description"
"2084019-1","Resistor, 600 W, +/- 0 %"
"1066738-13","Resistor, 1 W, 4700 Ohm, +/1 %"
"606126C1","Resistor, 12.27 Ohm, +/- 0 %"
"1066738-12","Resistor, 1 W, 120 Ohm, +/- 1 %"
"605816C1","Resistor, 12500 Ohm, +/- 0 %"
"605813C1","Resistor, 13.39 Ohm, +/- 0 %"
"1766914-1","Resistor, 300 W, 1.95 Ohm, Â± 5%"
"600439C1","Resistor"
"908356C1","Resistor, +/-5 %"
"1024781-1","Resistor"
"605244C1","Resistor, 40 W, 22 Ohm, +/- 10 %"
"605245C1","Resistor, 200 W, 40000 Ohm, +/- 5"
"186233-2","Resistance Bulb Transmitter"
"918837C1","Resistor, 0.25 W, 2740 Ohm, 1"
"2031604-1","Resistor, 100 W, 100 Ohm, +/- 5 %"
"2039600-1","Resistor, 1 W, 1000 Ohm, +/- 1 %"
"1066738-9","Resistor, 1 W, 10000 Ohm, +/-1%"
"1066738-8","Resistor, 1 W, 1000 Ohm, +/-1%"
"970725C1","Resistor, 1 W, 250 Ohm, 0.1%"
"915823C1","Resistor, 10 W, 182 Ohm, 1%"
"908849C1","Resistor, +/-5%"
"1787290-20","Resistor, 0.5 W, 120 Ohm, +/- 0 %"
"908234C1","Resistor, 20 W, 150 Ohm, 5"
"1787290-10","Resistor, 0.5 W, 120 Ohm, +/- 0 %"
"993578C1","Resistor, 300 W, 0.75 Ohm"
"912404C1","Resistor, 0.125 W, 221 Ohm, 1"
"912672C1","Resistor, 0.25 W, 6810 Ohm, 1"
"1085042-3","Resistor, 720 W, 45 Ohm"
"1766913-1","Resistor, 0.6 W, 5100 Ohm, Â±"
